year,all_co2_emissions,all_co2_emissions_norm,temp_diff,temp_diff_norm
1750,46752640,0.0,,
1751,46752640,0.0,,
1752,46770960,1.4267270208848016e-07,,
1753,46770960,1.4267270208848016e-07,,
1754,46789280,2.853454041769603e-07,,
1755,46807600,4.2801810626544054e-07,,
1756,50031920,2.553841367383795e-05,,
1757,50050240,2.568108637592643e-05,,
1758,50068560,2.5823759078014912e-05,,
1759,50086880,2.5966431780103393e-05,,
1760,50086880,2.5966431780103393e-05,,
1761,54868400,6.320400702519672e-05,,
1762,54886720,6.33466797272852e-05,,
1763,54905040,6.348935242937368e-05,,
1764,54923360,6.363202513146215e-05,,
1765,54941680,6.377469783355063e-05,,
1766,61298720,0.00011328212545825326,,
1767,61317040,0.00011342479816034174,,
1768,61335360,0.00011356747086243022,,
1769,61353680,0.00011371014356451869,,
1770,61372000,0.00011385281626660718,,
1771,68058800,0.00016592835252890245,,
1772,68077120,0.0001660710252309909,,
1773,68095440,0.0001662136979330794,,
1774,68113760,0.0001663563706351679,,
1775,68132080,0.00016649904333725636,,
1776,75185280,0.00022142803364132122,,
1777,75203600,0.00022157070634340971,,
1778,75221920,0.00022171337904549818,,
1779,75240240,0.00022185605174758667,,
1780,75276880,0.00022214139715176362,,
1781,84217040,0.00029176567577094195,,
1782,84235360,0.00029190834847303044,,
1783,84272000,0.00029219369387720737,,
1784,84290320,0.00029233636657929586,,
1785,84341616,0.0002927358501451436,,
1786,95754976,0.0003816209435462668,,
1787,95791616,0.00038190628895044376,,
1788,95809936,0.0003820489616525322,,
1789,95846576,0.0003823343070567092,,
1790,95883216,0.00038261965246088616,,
1791,107095056,0.000469935346139036,,
1792,109476656,0.0004884827974105385,,
1793,109568256,0.0004891961609209809,,
1794,109403376,0.0004879121066021845,,
1795,109458336,0.0004883401247084499,,
1796,114752816,0.0005295725356120207,,
1797,120468656,0.0005740864186636266,,
1798,125470016,0.0006130360663337816,,
1799,132138496,0.0006649689298939884,,
1800,139950144,0.0007258045700645163,,
1801,139261312,0.0007204400764659895,,
1802,183331904,0.0010636535286100374,,
1803,156844848,0.0008573773359305128,,
1804,170877968,0.0009666646257302885,,
1805,166411552,0.0009318810209611171,,
1806,174560288,0.000995341838850073,,
1807,183614032,0.0010658506882222,,
1808,174534640,0.0009951420970671493,,
1809,174640896,0.0009959695987392624,,
1810,186061584,0.0010849117612212209,,
1811,197013280,0.0011702015025297143,,
1812,204066480,0.0012251304928337793,,
1813,205055760,0.0012328348187465572,,
1814,209518512,0.0012675898889753109,,
1815,216234624,0.0013198937015609477,,
1816,236994848,0.0014815704075676135,,
1817,245715168,0.00154948261376173,,
1818,246653152,0.0015567874561086602,,
1819,248210352,0.0015689146357861811,,
1820,251852368,0.001597277968961371,,
1821,255516368,0.001625812509379067,,
1822,265592368,0.0017042824955277312,,
1823,280944528,0.0018238422198778774,,
1824,290591840,0.001898973664797671,,
1825,301506896,0.0019839780607019877,,
1826,304463744,0.0020070054348190684,,
1827,326678576,0.0021800103533715595,,
1828,329994496,0.0022058341124495742,,
1829,328382336,0.002193278914665788,,
1830,441432902,0.003073695384308368,,
1831,418107450,0.0028920411668261004,,
1832,419504293,0.0029029195164551056,,
1833,426974758,0.0029610980878201393,,
1834,435660592,0.0030287417235555104,,
1835,443593152,0.003090519003559822,,
1836,514414608,0.0036420631352934688,,
1837,512842752,0.003629821817454277,,
1838,530155152,0.003764647520927891,,
1839,547024208,0.0038960205450109635,,
1840,582898432,0.004175402230240625,,
1841,600665168,0.004313766216726033,,
1842,633681472,0.004570890960429892,,
1843,648733184,0.004688110852465788,,
1844,688498576,0.004997796219619043,,
1845,753640832,0.00550511181370526,,
1846,763522640,0.005582069469211787,,
1847,831837920,0.00611409597529973,,
1848,835472608,0.0061424022393940835,,
1849,881067424,0.006497486060351893,,
1850,944822340,0.006993997312379409,,
1851,944689120,0.006992959820164768,,
1852,984088112,0.007299791733276253,,
1853,1025619552,0.007623230748910837,,
1854,1209251904,0.009053324845564927,,
1855,1224318119,0.009170657684227371,,
1856,1306205008,0.009808377319557582,,
1857,1317120064,0.009893381715461898,,
1858,1336451161,0.010043928650141185,,
1859,1414272631,0.010649987569649787,,
1860,1556029679,0.011753964702741837,,
1861,1644744385,0.012444858088113296,,
1862,1672924904,0.012664322650994615,,
1863,1776860703,0.013473755035659197,,
1864,1915501501,0.014553463401945396,,
1865,2040645919,0.015528064508241806,,
1866,2106940250,0.016044352244973144,,
1867,2239362208,0.0170756294591493,,
1868,2286151586,0.017440016303488782,,
1869,2415589472,0.018448054128174407,,
1870,2462387001,0.018812504450963382,,
1871,2620670128,0.02004518356799963,,
1872,2875078277,0.022026466212713532,,
1873,3043866195,0.023340954659271874,,
1874,2841428241,0.021764406083810986,,
1875,3101350218,0.023788629380250385,,
1876,3155700166,0.024211896516687526,,
1877,3194202380,0.024511744492002423,,
1878,3222429944,0.024731575432463966,,
1879,3410087203,0.02619301474513033,,
1880,3852297888,0.02963686809236547,-0.13,0.22222222222222224
1881,3973038347,0.03057717199721991,-0.09,0.25
1882,4167645615,0.032092736668159705,-0.1,0.24305555555555555
1883,4423435970,0.034084783672309354,-0.19,0.18055555555555558
1884,4449084621,0.03428453052509835,-0.27,0.125
1885,4476886268,0.034501044504355996,-0.26,0.13194444444444445
1886,4523774920,0.034866204475869446,-0.25,0.1388888888888889
1887,4734717708,0.03650898709322957,-0.29,0.11111111111111113
1888,5173709600,0.03992777308812991,-0.14,0.2152777777777778
1889,5245853720,0.040489617877441895,-0.09,0.25
1890,5643912064,0.04358962112675116,-0.34,0.07638888888888888
1891,5889892819,0.04550527281766898,-0.25,0.1388888888888889
1892,5896779298,0.04555890341629374,-0.3,0.10416666666666669
1893,5801458921,0.04481656631199884,-0.33,0.08333333333333333
1894,6090705254,0.0470691621579756,-0.31,0.09722222222222224
1895,6394884030,0.04943804905152836,-0.24,0.14583333333333334
1896,6629611194,0.05126605989986056,-0.1,0.24305555555555555
1897,6948562011,0.05374998866048929,-0.1,0.24305555555555555
1898,7285621252,0.0563749424092536,-0.27,0.125
1899,7901020695,0.061167557114305764,-0.16,0.20138888888888892
1900,8322746133,0.06445187522450815,-0.07,0.2638888888888889
1901,8503958746,0.06586312485055751,-0.15,0.20833333333333337
1902,8661383395,0.06708911830296801,-0.26,0.13194444444444445
1903,9329177584,0.07228977340032693,-0.37,0.055555555555555566
1904,9463532757,0.07333610612802753,-0.45,0.0
1905,9984272422,0.07739152834910833,-0.27,0.125
1906,10441448730,0.0809519311434967,-0.21,0.16666666666666669
1907,11747370800,0.09112220573104482,-0.38,0.04861111111111112
1908,11474390321,0.08899628528582988,-0.43,0.013888888888888902
1909,11810024773,0.09161014304679202,-0.44,0.006944444444444451
1910,12279284381,0.09526464830084994,-0.4,0.03472222222222222
1911,12533958908,0.09724800544714882,-0.44,0.006944444444444451
1912,13101687868,0.10166937142843062,-0.34,0.07638888888888888
1913,14186357714,0.11011657545696314,-0.32,0.09027777777777779
1914,12817501676,0.09945618300545706,-0.14,0.2152777777777778
1915,12516025875,0.09710834637101608,-0.09,0.25
1916,13423384554,0.10417468449854686,-0.32,0.09027777777777779
1917,13858023035,0.10755956695028826,-0.39,0.041666666666666664
1918,13439947549,0.10430367397733113,-0.3,0.10416666666666669
1919,11633053721,0.09023192589721336,-0.25,0.1388888888888889
1920,13532563776,0.10502495167183605,-0.23,0.1527777777777778
1921,12002137975,0.09310628440248034,-0.16,0.20138888888888892
1922,12735811389,0.0988199944693941,-0.25,0.1388888888888889
1923,13936200980,0.10816840202981198,-0.25,0.1388888888888889
1924,14371688955,0.11155990018048285,-0.24,0.14583333333333334
1925,14456594270,0.11222112674777127,-0.18,0.18750000000000003
1926,13820684042,0.10726877792056266,-0.07,0.2638888888888889
1927,15561625447,0.12082690097891775,-0.17,0.19444444444444448
1928,15526099480,0.12055023145347037,-0.18,0.18750000000000003
1929,16702606573,0.12971264662730075,-0.33,0.08333333333333333
1930,15500570886,0.12035141958193653,-0.11,0.23611111111111113
1931,13987316554,0.10856648047202724,-0.06,0.27083333333333337
1932,12720183122,0.09869828447584332,-0.13,0.22222222222222224
1933,13333052940,0.10347119893886379,-0.26,0.13194444444444445
1934,14534959745,0.11283142227553858,-0.11,0.23611111111111113
1935,15257736301,0.11846026966913714,-0.16,0.20138888888888892
1936,16634798765,0.12918457221736315,-0.12,0.22916666666666669
1937,17853781095,0.13867777651972185,-0.01,0.3055555555555556
1938,17088201446,0.13271558671695,-0.02,0.2986111111111111
1939,17934196100,0.1393040334002791,0.01,0.3194444444444445
1940,19486455008,0.15139273278593812,0.16,0.4236111111111111
1941,19636243556,0.1525592577250795,0.27,0.5
1942,19244225017,0.14950629133709326,0.11,0.38888888888888895
1943,19534253504,0.15176497845078996,0.11,0.38888888888888895
1944,19565115857,0.15200532863066543,0.28,0.5069444444444444
1945,15594472008,0.12108270379617671,0.18,0.4375
1946,17627175406,0.13691301418575616,-0.01,0.3055555555555556
1947,19688573770,0.15296679555435072,-0.03,0.2916666666666667
1948,20822381496,0.16179667611751747,-0.05,0.2777777777777778
1949,20750881611,0.16123984850878573,-0.07,0.2638888888888889
1950,23193330215,0.1802611772230279,-0.15,0.20833333333333337
1951,24765198720,0.19250259244879916,0.0,0.3125
1952,25203425334,0.1959154186030822,0.04,0.3402777777777778
1953,25929889053,0.20157298092617043,0.13,0.40277777777777785
1954,26744550909,0.20791741369276084,-0.1,0.24305555555555555
1955,29264526082,0.22754250469318635,-0.13,0.22222222222222224
1956,31190086910,0.24253840897083326,-0.18,0.18750000000000003
1957,32296582321,0.25115558637999663,0.07,0.36111111111111116
1958,33117262597,0.2575468894655665,0.12,0.39583333333333337
1959,34633660076,0.26935630681104084,0.08,0.3680555555555556
1960,36787271041,0.286128222511037,0.05,0.3472222222222222
1961,37222967265,0.2895213424656127,0.09,0.37500000000000006
1962,38731690224,0.3012709920978975,0.1,0.3819444444444445
1963,40905926108,0.3182035307740992,0.12,0.39583333333333337
1964,43134192759,0.33555685086535564,-0.14,0.2152777777777778
1965,44979446660,0.34992733995350955,-0.07,0.2638888888888889
1966,47046989040,0.3660289697590252,-0.01,0.3055555555555556
1967,48536549212,0.3776293832231421,0.0,0.3125
1968,51174888659,0.39817627284814844,-0.03,0.2916666666666667
1969,54504032516,0.42410301682846807,0.1,0.3819444444444445
1970,58698549690,0.4567691248618259,0.06,0.3541666666666667
1971,61092473286,0.47541254997288984,-0.07,0.2638888888888889
1972,63821145345,0.49666293292981484,0.04,0.3402777777777778
1973,67163417183,0.5226919151482478,0.19,0.4444444444444445
1974,67081293618,0.5220523523249023,-0.06,0.27083333333333337
1975,67323829893,0.5239411790557279,0.01,0.3194444444444445
1976,71104709357,0.5533859546779836,-0.07,0.2638888888888889
1977,72869545069,0.5671301620891892,0.21,0.45833333333333337
1978,75107627461,0.5845599253186264,0.12,0.39583333333333337
1979,77268872430,0.6013912932008515,0.23,0.47222222222222227
1980,76976515724,0.5991144743570356,0.28,0.5069444444444444
1981,75014306964,0.5838331629022929,0.32,0.5347222222222222
1982,74497847815,0.57981107653187,0.19,0.4444444444444445
1983,74918676782,0.5830884130951339,0.36,0.5625000000000001
1984,77135656752,0.6003538346451305,0.17,0.4305555555555556
1985,79876908366,0.6217021848019966,0.16,0.4236111111111111
1986,80843757464,0.6292318230838454,0.23,0.47222222222222227
1987,82788031621,0.6443734632355916,0.38,0.576388888888889
1988,85631218083,0.6665156627484151,0.39,0.5833333333333334
1989,86621767754,0.6742298766192899,0.29,0.513888888888889
1990,88194825624,0.6864805543951877,0.45,0.625
1991,88759487297,0.6908780329242659,0.39,0.5833333333333334
1992,86107543538,0.670225195485226,0.24,0.47916666666666663
1993,86353214293,0.6721384329546565,0.28,0.5069444444444444
1994,86236263976,0.6712276459603064,0.34,0.5486111111111112
1995,87648421404,0.6822252614639679,0.47,0.6388888888888888
1996,89953573953,0.7001773544165867,0.32,0.5347222222222222
1997,90055544500,0.7009714817896179,0.51,0.6666666666666666
1998,89566127989,0.6971599983796241,0.65,0.763888888888889
1999,90524425606,0.7046230393415422,0.44,0.6180555555555556
2000,92998024618,0.7238869615536293,0.42,0.6041666666666667
2001,93999374194,0.7316852830461552,0.57,0.7083333333333334
2002,95821331718,0.7458743443474388,0.62,0.7430555555555556
2003,100340412516,0.7810680926229207,0.64,0.7569444444444445
2004,104330577672,0.8121427457116663,0.58,0.7152777777777778
2005,107354786250,0.8356947112958596,0.67,0.7777777777777779
2006,110616403288,0.8610955691555368,0.63,0.7500000000000001
2007,113346854806,0.8823598102032798,0.62,0.7430555555555556
2008,115021012719,0.8953978360313649,0.54,0.6875
2009,112661077182,0.8770191035085255,0.64,0.7569444444444445
2010,118593918603,0.9232229526677247,0.72,0.8125
2011,122025586539,0.9499481348238119,0.57,0.7083333333333334
2012,123738516592,0.9632881107599512,0.63,0.7500000000000001
2013,124342031236,0.9679881688936547,0.67,0.7777777777777779
2014,124746835874,0.9711407110072687,0.74,0.8263888888888888
2015,124780502322,0.9714028989497295,0.92,0.951388888888889
2016,124705642926,0.9708199081034395,0.99,1.0
2017,126304712027,0.9832731564367293,0.91,0.9444444444444445
2018,128452535469,1.0,0.82,0.8819444444444445
2019,128422888228,0.9997691128830274,0.94,0.9652777777777778
2020,121592752041,0.9465773014511716,,
